 ,ต่างชาติ,สถาบัน,ในประเทศ,Oi Morning,รวมต่างชาติ,รวมกองทุน,ต่างชาติ + กองทุน,close S50U26,close S50U26Z26,SUM ,,
26/06/2026,"-6,354",-554,"6,908","499,357","-6,354.0",-554.0,"-6,908","1,013.20",-1.0,สถาบัน,ต่างชาติ,ในประเทศ
29/06/2026,"36,226","-5,435","-30,791","534,186","29,872.0","-5,989.0","23,883","1,013.10",-2.4,"47,391","-38,595","-8,796"
30/06/2026,"12,991","-4,383","-8,608","573,629","42,863.0","-10,372.0","32,491","1,046.50",-2.1,,,
01/07/2026,"-13,226","3,505","9,721","582,935","29,637.0","-6,867.0","22,770","1,041.10",-1.5,,,
02/07/2026,"7,681","-3,901","-3,780","582,538","37,318.0","-10,768.0","26,550","1,049.60",-1.9,,,
03/07/2026,"1,500","-6,616","5,116","575,555","38,818.0","-17,384.0","21,434","1,065.20",-1.5,,,
06/07/2026,"-12,383","1,549","10,834","589,691","26,435.0","-15,835.0","10,600","1,063.80",-1.3,,,
07/07/2026,"-22,095","9,812","12,283","583,094","4,340.0","-6,023.0","-1,683","1,057.60",-0.6,,,
08/07/2026,"-14,936","5,825","9,111","583,655","-10,596.0",-198.0,"-10,794","1,040.50",0.2,,,
09/07/2026,"18,466","-2,186","-16,280","571,536","7,870.0","-2,384.0","5,486","1,055.00",-0.1,,,
10/07/2026,"5,940","1,367","-7,307","569,176","13,810.0","-1,017.0","12,793","1,065.70",-0.5,,,
13/07/2026,"9,172","-3,398","-5,774","575,115","22,982.0","-4,415.0","18,567","1,071.90",-0.9,,,
14/07/2026,"-9,929","4,700","5,229","576,506","13,053.0",285.0,"13,338","1,069.80",-0.7,,,
15/07/2026,780,"-4,869","4,089","553,226","13,833.0","-4,584.0","9,249","1,073.30",-0.2,,,
16/07/2026,"13,395","-3,056","-10,339","562,578","27,228.0","-7,640.0","19,588","1,082.00",-0.6,,,
17/07/2026,"1,355","2,807","-4,162","566,113","28,583.0","-4,833.0","23,750","1,088.50",-0.6,,,
20/07/2026,"-7,236","2,001","5,235","562,464","21,347.0","-2,832.0","18,515","1,095.20",-0.5,,,
21/07/2026,"-4,650","1,248","3,402","557,064","16,697.0","-1,584.0","15,113","1,096.70",-0.1,,,
22/07/2026,"-6,703","-1,285","7,988","552,339","9,994.0","-2,869.0","7,125","1,089.60",0.2,,,
23/07/2026,"-3,475",-150,"3,625","559,126","6,519.0","-3,019.0","3,500","1,085.30",0.4,,,
24/07/2026,"10,742","-1,826","-8,916","627,043","17,261.0","-4,845.0","12,416","1,092.20",-0.2,,,
27/07/2026,"-18,120","1,507","16,613","563,632",-859.0,"-3,338.0","-4,197","1,083.80",0.6,,,
30/07/2026,"-31,519","12,757","18,762","547,659","-32,378.0","9,419.0","-22,959","1,067.90",1.0,,,
31/07/2026,"30,152","-1,155","-28,997","529,505","-2,226.0","8,264.0","6,038","1,084.10",0.7,,,
03/08/2026,"-6,373","1,173","5,200","523,183","-8,599.0","9,437.0",838,"1,082.20",0.8,,,
04/08/2026,"-2,067","1,299",768,"519,821","-10,666.0","10,736.0",70,"1,080.60",1.0,,,
05/08/2026,"-15,283","1,867","13,416","515,779","-25,949.0","12,603.0","-13,346","1,076.30",1.6,,,
06/08/2026,"26,561","-7,654","-18,907","526,172",612.0,"4,949.0","5,561","1,083.20",1.1,,,
07/08/2026,"-15,338","3,715","11,623","525,142","-14,726.0","8,664.0","-6,062","1,079.50",1.2,,,
10/08/2026,"3,343","1,125","-4,468","512,699","-11,383.0","9,789.0","-1,594","1,082.10",1.1,,,
11/08/2026,"-11,701","4,457","7,244","509,460","-23,084.0","14,246.0","-8,838","1,076.50",1.4,,,
13/08/2026,"-2,283",898,"1,385","501,839","-25,367.0","15,144.0","-10,223","1,077.00",1.5,,,
14/08/2026,"-9,195","2,657","6,538","508,670","-34,562.0","17,801.0","-16,761","1,071.60",1.9,,,
17/08/2026,"32,990","-7,124","-25,866","504,996","-1,572.0","10,677.0","9,105","1,084.90",1.4,,,
18/08/2026,"-23,212","7,088","16,124","508,436","-24,784.0","17,765.0","-7,019","1,077.90",2.0,,,
19/08/2026,"-10,897","1,482","9,415","507,640","-35,681.0","19,247.0","-16,434","1,072.60",2.5,,,
20/08/2026,"-1,430","3,015","-1,585","515,960","-37,111.0","22,262.0","-14,849","1,072.90",2.8,,,
21/08/2026,"24,560","-5,330","-19,230","514,376","-12,551.0","16,932.0","4,381","1,080.70",1.4,,,
24/08/2026,"-29,211","10,710","18,501","505,302","-41,762.0","27,642.0","-14,120","1,071.60",2.2,,,
25/08/2026,"11,005","-2,037","-8,968","502,129","-30,757.0","25,605.0","-5,152","1,072.90",2.0,,,
26/08/2026,"9,978","-1,199","-8,779","502,806","-20,779.0","24,406.0","3,627","1,075.00",1.1,,,
27/08/2026,"-18,625","3,142","15,483","500,872","-39,404.0","27,548.0","-11,856","1,070.50",2.6,,,
28/08/2026,"-12,387","5,540","6,847","498,530","-51,791.0","33,088.0","-18,703","1,065.30",2.1,,,
31/08/2026,"11,108","-1,399","-9,709","510,427","-40,683.0","31,689.0","-8,994","1,068.30",1.6,,,
01/09/2026,104,"2,077","-2,181","506,732","-40,579.0","33,766.0","-6,813","1,065.00",2.4,,,
02/09/2026,"-16,096","4,998","11,098","494,793","-56,675.0","38,764.0","-17,911","1,058.10",2.5,,,
03/09/2026,"14,756","-4,624","-10,132","498,399","-41,919.0","34,140.0","-7,779","1,062.40",2.2,,,
04/09/2026,"19,061","-3,950","-15,111","490,516","-22,858.0","30,190.0","7,332","1,072.20",1.5,,,
07/09/2026,"11,596","2,477","-14,073","492,133","-11,262.0","32,667.0","21,405","1,079.40",0.5,,,
08/09/2026,"-2,917","1,984",933,"490,840","-14,179.0","34,651.0","20,472","1,083.50",0.7,,,
09/09/2026,"-10,587","7,148","3,439","488,400","-24,766.0","41,799.0","17,033","1,081.80",0.8,,,
10/09/2026,"-2,389","2,447",-58,"491,108","-27,155.0","44,246.0","17,091","1,082.30",0.8,,,
11/09/2026,"-11,440","3,145","8,295","486,185","-38,595.0","47,391.0","8,796","1,075.50",1.3,,,
14/09/2026,,,,"481,063",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,, ,
